symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
LFST,10.899999618530273,9.246556795412747,-5.872196111018235,3517649.86,-56.806587907529824,0.832554999260271,0.008496082401242196,721,96,B+,LifeStance Health Group Inc. Common Stock,Health Care,Medical/Nursing Services,4227395309.0,10.9,United States,2021,39,B,40.00000000000001,349.99999999999994,999.0,999.0,21.174880619875662,reported,89,185
OUT,32.029998779296875,7.133892238388897,-5.264722039911818,1816557.18,-60.267752210255225,0.4390071882343305,0.004436841721708972,721,89,B-,OUTFRONT Media Inc. Common Stock,Real Estate,Real Estate Investment Trusts,5639314225.0,32.03,United States,2014,39,B,999.0,33.33333333333333,999.0,999.0,9.956488354235987,reported,91,180
PANW,323.7900085449219,8.650632512133807,-9.727329330687596,8271735.16,-38.058244118154285,-0.5650573688849136,0.008427071934684954,721,95,B+,Palo Alto Networks Inc. Common Stock,Technology,Computer peripheral equipment,263888850000.0,323.79,United States,,39,B,6.249999999999992,27.160493827160487,30.068848134077864,0.06795719112196268,31.148973350808213,reported,90,185
PNTG,41.15999984741211,7.538081066468385,-1.8831964270791257,295124.42,-43.779305013119554,3.391103811985352,0.007267989395169671,721,91,B+,The Pennant Group Inc. Common Stock,Health Care,Medical/Nursing Services,1431032646.0,41.16,United States,,39,B,18.518518518518512,41.66666666666668,11.933842930847227,0.05250341039070461,35.98993528464273,reported,92,183
PSTL,24.0,6.992676358264459,-3.923136750180234,342090.9,-58.828194494504245,0.9676042818973052,0.0022755452767940854,721,88,C,Postal Realty Trust Inc. Class A Common Stock,Real Estate,Real Estate Investment Trusts,662972592.0,24.0,United States,2019,39,B,83.33333333333334,100.0,999.0,0.5400923519862342,20.306997742663658,reported,97,185
WELL,252.07000732421875,6.862830896293056,0.0,3568910.3,-24.200532582732603,2.0319790368143575,0.004469802442409078,721,87,B-,Welltower Inc. Common Stock,Real Estate,Real Estate Investment Trusts,177939855412.0,252.07,United States,,39,B,154.99999999999997,,66.71109926452392,,38.395712611682136,diluted,94,181
ACA,145.0,6.786781732964216,-0.22699735624726047,709979.42,-30.46685775765162,-0.07580498235054689,0.009524062535166602,721,86,A-,Arcosa Inc. Common Stock,Industrials,Metal Fabrications,7118972780.0,145.0,United States,2018,46,B,65.30612244897961,149.99999999999997,18.0423496098882,0.3166445754324517,4.401022644265887,reported,93,179
HLIO,79.83000183105469,7.118580476078411,-13.92160453395157,376164.2,-60.54648475320086,0.0626761751352456,-0.000673698216641844,721,89,D,Helios Technologies Inc. Common Stock,Industrials,Metal Fabrications,2638090759.0,79.83,United States,2021,46,B,81.81818181818183,145.45454545454547,1.8062212537795164,0.2743134822988026,16.828644501278774,reported,87,176
HWM,289.260009765625,6.705929948473411,0.0,2752299.34,-38.62342749390042,0.7558652183687897,0.0011220643781665043,721,86,C-,Howmet Aerospace Inc. Common Stock,Industrials,Metal Fabrications,115735090533.0,289.26,United States,,46,B,41.860465116279066,41.891891891891895,48.08272976235115,0.03178601108259167,19.10401647785788,reported,98,184
NPO,333.8800048828125,6.77841837142567,-13.870757090229768,265361.46,-3.0857759073227964,-0.9111165493392082,1.2139966539861434e-05,721,86,D+,Enpro Inc. Common Stock,Industrials,Metal Fabrications,7053770576.0,333.88,United States,,46,B,12.631578947368432,26.751592356687894,16.36405559926071,0.12684392357824192,10.907759882869692,reported,85,171
TXG,46.27000045776367,13.263764241143006,-3.7245128264230987,3250776.88,-17.81521468185168,-3.7245128264230987,0.013116515984550959,721,99,A-,10x Genomics Inc. Class A Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,5874262865.0,46.27,United States,2019,48,B,999.0,999.0,999.0,999.0,-2.6084205497052615,reported,96,195
DELL,437.5,14.320404601225691,-5.952666165815634,9281254.36,-54.55120788220699,-0.41880920317473036,0.009763230664313288,721,99,A-,Dell Technologies Inc. Class C Common Stock,Technology,Computer Manufacturing,283547246063.0,437.5,United States,2018,59,C+,213.5483870967742,45.14925373134328,9.24240097757516,0.2456026314663182,87.53528958850201,reported,91,190
GEO,30.920000076293945,8.08755782983858,-1.3401406325751486,1961051.52,-37.61632534773997,-0.48277959447570185,0.0075820676871438085,721,94,B+,Geo Group Inc (The) REIT,Consumer Discretionary,Homebuilding,4131477341.0,30.92,United States,,63,C+,107.14285714285711,92.3076923076923,-5.497496201950414,0.2437451025763157,16.632183736957266,reported,85,179
ABX,10.380000114440918,7.297247138926446,-13.499999046325684,625818.4,-4.282136798790193,3.2835812680907406,0.006200200703904775,721,90,B+,Abacus Global Management Inc. Class A Common Stock,Finance,Investment Managers,995674169.0,10.38,United States,,68,C,11.111111111111121,43.75000000000001,18.05555555555558,0.0894481815901946,34.55180781337358,reported,90,180
AMG,358.2900085449219,6.81216297721359,-5.611314312405813,319022.08,-49.62605723089762,3.024993490981309,-0.0025737114894775538,721,87,D-,Affiliated Managers Group Inc. Common Stock,Finance,Investment Managers,9463185935.0,358.29,United States,,68,C,58.269230769230774,45.17611026033691,15.011982025723402,0.17198146657205662,9.72613773660894,reported,92,179
VCTR,97.19999694824219,7.004016309412904,-3.3605138410018442,508969.84,-19.26987265100031,0.7358266143554948,0.005909872253583901,721,88,B,Victory Capital Holdings Inc. Class A Common Stock,Finance,Investment Managers,6078023503.0,97.2,United States,2018,68,C,33.8235294117647,22.758620689655178,10.702421555661324,0.054994450175857315,76.67826340379413,reported,91,179
CASY,861.6300048828125,6.804883324183233,-5.964336520135582,566587.18,-56.44818507894938,-1.5561262630319872,0.004112854420549751,721,86,B-,Casey's General Stores Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,31884544050.0,861.63,United States,1983,71,C,66.1596958174905,49.785407725321896,17.929713574900518,0.32733126993237777,14.501780473547358,reported,90,176
